participant,covaesti1,covaesti2,covaesti3,covaesti4,covaesti5,covaesti6,covaesti7,covaesti8,covaesti9,covaesti10,covaesti11,covaesti12,covaesti13,covaesti14,covaesti15,covaesti16,covaesti17,covaesti18,covaesti19,covaesti20,covaesti21,covaesti22,covaesti23,covaesti24,covaesti25,covaesti26,covaesti27,covaesti28,covaesti29,covaesti30,covaesti31,covaesti32,covaesti33,covaesti34,covaesti35,covaesti36,covaesti37,covaesti38,covaesti39,covaesti40,covaesti41,covaesti42
1,-10.9190303467799,-2.56825968211916,-0.00783764855024957,-9.80210233090482,-2.34505798269771,0.316154501171901,-9.26716486183745,-2.44966045841445,0.621005578747394,-10.1033072691112,-2.71152526185878,0.536858843386091,-10.1451872863492,-2.0478045081922,0.693970442968626,-9.84388527372883,-2.44736232037694,-1.24353308188831,-0.0234007133316639,0.0164004463923215,0.0145750610689257,-0.0127271729716463,0.000232756597030911,0.00269670465550103,-0.0344152639237264,0.0200721778907166,0.125265189783755,-0.00440436020919039,-0.0872456317420454,0.0154102398729308,-0.0258419654517831,-0.00702501419521662,0.0811950434914466,0.00725610101275852,0.0398003330613683,-0.018342421281597,0.113659124499188,0.320624402790099,0.558330423628713,0.180864039878417,0.553591661312371,0.0108597089264975
2,-10.3666939697363,-1.94658999416614,-0.295371442897223,-8.24135063643009,-3.27259754421017,0.115770324538187,-9.83980982991303,-2.04480260314989,0.567807456668367,-11.28944227151,-2.03385041719029,0.599988557942477,-9.85949417909612,-2.69885794998657,0.282528570671484,-8.66656216013412,-1.79717012289134,-0.430330864939964,-0.015199767873303,-0.00921207610972895,0.0119859215298977,0.0151059278008386,-0.00486843427671268,-0.0154722072541601,-0.0421677962926957,0.0092226837981561,0.266786001602528,0.0052241838547665,-0.0434825964944402,0.00809470947037836,-0.0259937092621035,-0.019764805770338,0.0567319833361705,0.00493585938552341,0.0736752689009859,-0.000377680479577206,0.249386448331583,-0.00576093842010823,0.485770376011706,0.272356106420669,0.4548037957474,-0.0763113926052739
3,-10.9982328405055,-2.09544164369435,-0.781212028804064,-8.63524853733944,-1.9771296563599,-1.30124598586599,-10.1929786522103,-2.02955519874604,1.26223851298099,-9.85885792572214,-2.70460953246496,-0.629188972280812,-8.91355981370424,-2.37156797857236,0.31072876454927,-9.56060341597591,-2.74149019619483,0.309120005467906,-0.0100673592486358,-0.023333437990933,0.0206093772006746,-0.00996600161970927,0.0161387630441413,0.0280261944605958,-0.0102458706493579,-0.00734677041716076,0.100121826621248,0.0162161239493534,-0.078024705380275,0.0110608977333339,0.0757076537228745,-0.00852188137749966,0.0455757470182693,0.0307915165844039,0.0339836106284227,-0.030683311238219,0.0533867221452807,-0.174635541836314,0.440263864860006,0.00614269889697716,0.074936451991468,0.426378910720003
4,-10.335892143456,-2.75688052739649,-1.60625669645527,-9.47699816179353,-2.4859623652571,-0.975740775114908,-9.66085979639712,-2.35523890246009,0.179057167865385,-10.0107052669878,-2.20889647558396,-0.613941175542562,-9.83902376261881,-2.28204966071234,1.01445227121517,-8.86408573543044,-2.19157290599002,-0.445039129697092,0.00926785535878812,0.0316511294707726,0.00151944250644185,-0.00466679124833236,0.0151743223775868,-0.00183906402660531,0.0316841528344599,0.0107701427867236,0.0376853934383365,0.00684011835276207,0.0323595915527889,-0.00714487759496193,-0.0168379417673225,-0.0160349846998751,0.00258583621815208,-0.00697952091029319,-0.0771242878082946,0.00312096668979426,-0.0722934956230291,0.0192604588711788,0.135365449879128,0.130745488403695,0.534508661654843,-0.160610591436519
5,-9.38219677982741,-2.45174557451527,0.126111632795552,-8.7376541187169,-2.76934331319868,-0.333287737040155,-10.3593473970615,-2.10959193783312,-0.803786364325272,-9.78518390049669,-1.94512610266235,-1.09766566433642,-10.0512167828261,-2.12772986107377,0.647194490375038,-9.5227302251778,-2.04234747582805,-0.358526502628334,0.00127020071550513,-0.0189534871470863,0.0105989449585172,0.00778728998965793,0.00709396533112251,-0.0235514880304005,-0.0684510140724147,0.0267898836149639,0.169756977079815,-5.68235833384399e-05,-0.0394745911965378,-0.00391396422301463,-0.0486467698767326,-0.0202842257679938,0.0247432860549934,0.00769118438769773,0.112036709605718,-0.00833415442614142,0.215153049638193,0.0152177996471281,0.0112210744583009,-0.0430917081962342,0.271921556819755,0.257703975256123
6,-10.017917646376,-1.89998045720546,0.613835579146536,-8.90524772240311,-2.32300996498602,0.865691268292346,-10.7324993473681,-2.53018883872806,-0.677011948896895,-9.85860513919008,-2.30699928192359,0.203968126435213,-10.109850649532,-2.33463891135229,0.189498433064171,-10.2509792958451,-3.04521343882333,-1.06387923236464,-0.00171726997859809,0.0460766510969238,0.00127034607356123,0.0105555553525178,-0.00240071728162378,-0.00397973694001511,-0.0274825231913486,0.0100219147398204,0.00772666328245068,0.00194604819388461,-0.00410593164693171,0.0122890368017381,-0.00376648402372565,-0.0144502634192421,0.0538153634498988,0.00231387188873263,0.0149349396300984,0.0028319915104303,0.244814429551836,0.547495146364939,-0.0946847346579077,0.423687790698759,0.282710156057562,0.0597556553740113
7,-10.1636109807293,-2.47754753789587,1.47033791574648,-9.35128329538708,-2.85967834512205,-0.22289732244296,-9.83986944119829,-2.49902379533923,0.779276012391915,-9.28676191493946,-2.12168942275672,-0.265681272596139,-10.1531514105152,-3.12605831433417,-0.485926479830679,-10.6588977848713,-2.10768239460256,-0.251968539175925,-0.00966135924132976,-0.029391083234193,-0.00373179832134512,0.0126335567606813,-0.00180777917738663,0.0252700987106424,0.0230344768790203,0.00526383330923251,0.0362979577128191,-0.00607826122540563,-0.0434116353870362,0.016831671557688,0.000781021238183964,-0.00967482246760349,0.0529848678141616,0.00718132848488384,-0.026589230236211,0.00640464847161553,0.534546544206543,-0.0319892156695365,0.305970248793154,0.121579912679842,-0.0350963482873504,0.0843054038375832
8,-10.0029983237991,-2.0266234225564,0.906899581985659,-8.93667045129143,-2.72910769830545,0.288921769635413,-10.8785122457485,-2.6708014691408,-1.72931824084666,-9.2697248555255,-2.53214941468262,0.092174507544071,-9.82824276236581,-2.28814499841954,0.410126125604084,-10.9110386283284,-2.25269969011478,-1.64163133771073,0.00513379098027286,-0.0101061298535536,-0.0165089767094807,0.0153196790897068,-0.00917973551101946,-0.0103578114230365,0.0273230882838162,0.0202872002594852,0.0830135733550672,-0.00981698557268442,0.0536552932449919,0.00288568446241952,0.0717456483357053,-0.00496210915513437,-0.0281154045793213,0.00848120585753676,0.0201094830501047,-0.00214193356678194,0.625892891183514,0.159464976408501,-0.200910600784605,0.145106979599893,0.323752638457373,-0.199124887557314
9,-10.7320151513118,-2.54341186008225,1.11866186448568,-8.22464415848374,-1.8505711408464,0.395630100980698,-8.89661536599588,-2.35662799795426,0.32234639911486,-8.98517547764234,-1.93234965802343,-0.590271211991138,-9.22959956608872,-2.68774670955708,1.15274802056321,-9.48296099511207,-1.72349617931156,0.566120195222611,-0.00431781621176934,-0.00977632718579411,-0.0150625313570668,-0.00868949803260662,0.00613116894181022,-0.00322234244961995,-0.0785985542894427,0.0141290241695137,0.0736200603337576,0.00225550186680592,-0.0110213656477126,0.0263028432518332,0.0447375601380599,-0.0182076280673926,0.026228936965372,0.00147236360802279,0.0176643626635594,-0.00845008304777214,0.693848507909917,0.258710699689884,0.284082017916103,0.0115126192745364,0.45751652630819,0.167997138453435
10,-11.5005376645885,-3.32214885527504,-1.37228736652674,-8.45500253820225,-2.17101957943915,0.342801902523988,-9.76195619758999,-2.01176617470984,-0.0735248355031332,-9.43336964341975,-2.40570920891489,-0.603869293172505,-9.13293177603724,-2.4947851788551,0.826305493898287,-10.6189417023697,-2.51808408697221,-0.800475605303486,-3.71117691546987e-05,0.00292892141174681,-0.00772922806365614,-0.00536609801533917,0.0022621543710778,9.10943580895795e-05,0.00405889695386327,0.00584072535023342,0.0136679535207499,0.00634561422380502,-0.101731664572016,-0.00086139356250236,0.00627444518856857,0.0106885170359408,-0.00821966836227983,0.0191704220649126,-0.0219823781688981,-0.00756964384500735,-0.159944081990285,0.0305365106636378,0.288795276380648,0.220056274497,0.228861256550965,-0.00767765446684955
11,-10.0887046063499,-2.14660255799003,0.517045848609503,-8.86627788755523,-2.35864019191711,-0.767690874607044,-10.435200578526,-2.25804359410396,1.98921990999145,-9.19117801184422,-2.50375862298615,-0.281649205623978,-9.90924896974777,-2.48748964783539,0.532227727232703,-10.829951930395,-2.47972089072001,1.32584756138898,0.00264591862534007,-0.0257000137039126,-0.0182956757618884,-0.00603686200103169,-0.00231047029595615,-0.00544961591124622,0.0154832154281726,0.0294035330296937,0.23123161244518,-0.00175918866482092,-0.000656086260296862,0.0214674684666623,0.0759861163879411,-0.0071998307482762,0.0119670659717776,0.00605041727884665,0.0663588036643401,-0.00146253513106345,0.411425940444661,0.126819275368533,0.762868859014452,-0.111451562859901,0.280266542841375,0.251076953563787
12,-10.4046679402244,-2.1378517988332,-0.634748328505561,-8.38673070387758,-2.19105396376314,-0.602482478283287,-10.1457041546386,-2.60928544284296,1.15718592708139,-10.1977324433125,-2.34960688020289,-1.63534137074705,-10.0534848788744,-2.45888382870123,1.41873877778721,-9.62447452222968,-2.22740939405417,0.250280949237363,-0.0269387007097338,0.00107807290735982,0.0122290737869193,-0.00861308947072995,0.0158862439574356,0.0250827186839221,0.0763998922035307,0.0261999088454395,0.211305982798113,-0.00784727965664574,0.0406219643693257,0.00894183826896759,0.0572128672993066,-0.0220649598010907,-0.0491255247208187,0.0189489506940742,-0.0462276993177029,-0.0110072307196055,0.0208081916251976,0.217145610399479,0.39250314137172,-0.352230835989831,0.677044178792101,0.134866099951912
